"","Crime Rates","Fear","Due Process","Uncertain Evidence","Hatred","Anger","Exclusion","Degradation","Suffering","Prison Violence","Harsh Conditions","Revenge","RWA","SDO","Vengefulness","Violence Proneness","Racial Resentment","Blood Sports"
"Crime Rates","-","0.39***","0.37***","0.18***","0.36***","0.53***","0.33***","0.26***","0.33***","0.11","0.38***","0.34***","0.44***","0.20***","0.06","0.30***","0.28***","0.17**"
"Fear","0.39***","-","0.31***","0.28***","0.23***","0.33***","0.21***","0.24***","0.24***","0.11","0.31***","0.25***","0.16**","0.09","0.16**","0.17**","0.02","0.12"
"Due Process","0.37***","0.31***","-","0.55***","0.47***","0.41***","0.48***","0.52***","0.51***","0.29***","0.56***","0.48***","0.52***","0.38***","0.32***","0.48***","0.34***","0.29***"
"Uncertain Evidence","0.18***","0.28***","0.55***","-","0.38***","0.32***","0.40***","0.37***","0.44***","0.36***","0.43***","0.33***","0.47***","0.38***","0.22***","0.43***","0.37***","0.27***"
"Hatred","0.36***","0.23***","0.47***","0.38***","-","0.72***","0.64***","0.62***","0.60***","0.40***","0.63***","0.57***","0.50***","0.36***","0.31***","0.43***","0.41***","0.21***"
"Anger","0.53***","0.33***","0.41***","0.32***","0.72***","-","0.55***","0.45***","0.46***","0.15**","0.52***","0.43***","0.49***","0.24***","0.15**","0.35***","0.32***","0.15*"
"Exclusion","0.33***","0.21***","0.48***","0.40***","0.64***","0.55***","-","0.71***","0.65***","0.41***","0.67***","0.60***","0.50***","0.38***","0.24***","0.43***","0.42***","0.12"
"Degradation","0.26***","0.24***","0.52***","0.37***","0.62***","0.45***","0.71***","-","0.68***","0.49***","0.69***","0.63***","0.44***","0.37***","0.37***","0.47***","0.38***","0.22***"
"Suffering","0.33***","0.24***","0.51***","0.44***","0.60***","0.46***","0.65***","0.68***","-","0.44***","0.69***","0.68***","0.54***","0.46***","0.40***","0.52***","0.41***","0.28***"
"Prison Violence","0.11*","0.11*","0.29***","0.36***","0.40***","0.15***","0.41***","0.49***","0.44***","-","0.53***","0.38***","0.22***","0.42***","0.25***","0.38***","0.36***","0.09"
"Harsh Conditions","0.38***","0.31***","0.56***","0.43***","0.63***","0.52***","0.67***","0.69***","0.69***","0.53***","-","0.58***","0.57***","0.47***","0.28***","0.55***","0.48***","0.20***"
"Revenge","0.34***","0.25***","0.48***","0.33***","0.57***","0.43***","0.60***","0.63***","0.68***","0.38***","0.58***","-","0.37***","0.35***","0.46***","0.49***","0.28***","0.18***"
"RWA","0.44***","0.16***","0.52***","0.47***","0.50***","0.49***","0.50***","0.44***","0.54***","0.22***","0.57***","0.37***","-","0.43***","0.13*","0.52***","0.53***","0.39***"
"SDO","0.20***","0.09*","0.38***","0.38***","0.36***","0.24***","0.38***","0.37***","0.46***","0.42***","0.47***","0.35***","0.43***","-","0.26***","0.53***","0.62***","0.13*"
"Vengefulness","0.06","0.16***","0.32***","0.22***","0.31***","0.15***","0.24***","0.37***","0.40***","0.25***","0.28***","0.46***","0.13**","0.26***","-","0.36***","0.12","0.25***"
"Violence Proneness","0.30***","0.17***","0.48***","0.43***","0.43***","0.35***","0.43***","0.47***","0.52***","0.38***","0.55***","0.49***","0.52***","0.53***","0.36***","-","0.53***","0.38***"
"Racial Resentment","0.28***","0.02","0.34***","0.37***","0.41***","0.32***","0.42***","0.38***","0.41***","0.36***","0.48***","0.28***","0.53***","0.62***","0.12**","0.53***","-","0.13*"
"Blood Sports","0.17***","0.12**","0.29***","0.27***","0.21***","0.15**","0.12**","0.22***","0.28***","0.09","0.20***","0.18***","0.39***","0.13**","0.25***","0.38***","0.13**","-"
