"Text_Feature","Psych_Measure","r","p","n","sig"
"sim_prosocial_mean","punitiveness_agg",-0.127,0.00467355646770373,496,"**"
"sim_prosocial_mean","hostile_agg",-0.042,0.3536097809902,496,""
"sim_prosocial_mean","crime_concerns_agg",0.021,0.646139471773348,496,""
"sim_prosocial_mean","hatred_comp",-0.039,0.38758283005886,496,""
"sim_prosocial_mean","revenge_comp",-0.054,0.232615355823135,496,""
"sim_prosocial_mean","sdo_comp",-0.053,0.23988553492464,496,""
"sim_prosocial_mean","rwa_comp",-0.096,0.0325387821247609,496,"*"
"sim_prosocial_mean","raceresent_comp",-0.043,0.339569458601334,496,""
"sim_dark_mean","punitiveness_agg",0.029,0.519918448350218,496,""
"sim_dark_mean","hostile_agg",-0.009,0.835749416145195,496,""
"sim_dark_mean","crime_concerns_agg",-0.029,0.512630517981276,496,""
"sim_dark_mean","hatred_comp",-0.067,0.1379767218899,496,""
"sim_dark_mean","revenge_comp",0.028,0.533600071320381,496,""
"sim_dark_mean","sdo_comp",0,0.997560943941137,496,""
"sim_dark_mean","rwa_comp",-0.122,0.00672922086627149,496,"**"
"sim_dark_mean","raceresent_comp",0.012,0.784829019959522,496,""
"sim_prosocial_minus_dark","punitiveness_agg",-0.172,0.00012271938490457,496,"***"
"sim_prosocial_minus_dark","hostile_agg",-0.034,0.447831800249779,496,""
"sim_prosocial_minus_dark","crime_concerns_agg",0.057,0.203129562539723,496,""
"sim_prosocial_minus_dark","hatred_comp",0.037,0.413345814499415,496,""
"sim_prosocial_minus_dark","revenge_comp",-0.091,0.0421190510627191,496,"*"
"sim_prosocial_minus_dark","sdo_comp",-0.057,0.204340991459902,496,""
"sim_prosocial_minus_dark","rwa_comp",0.04,0.37615708777297,496,""
"sim_prosocial_minus_dark","raceresent_comp",-0.061,0.174452098400085,496,""
"just_prosocial","punitiveness_agg",-0.1,0.0259727980007011,496,"*"
"just_prosocial","hostile_agg",-0.079,0.0781510570373512,496,""
"just_prosocial","crime_concerns_agg",-0.112,0.0129179544885037,496,"*"
"just_prosocial","hatred_comp",-0.075,0.0974403519042817,496,""
"just_prosocial","revenge_comp",-0.064,0.154923404811455,496,""
"just_prosocial","sdo_comp",-0.038,0.400574800269645,496,""
"just_prosocial","rwa_comp",-0.003,0.942601166806062,496,""
"just_prosocial","raceresent_comp",-0.056,0.215365862552194,496,""
"just_dark","punitiveness_agg",0.126,0.00496692531684132,496,"**"
"just_dark","hostile_agg",0.075,0.0936934039007479,496,""
"just_dark","crime_concerns_agg",-0.017,0.69883964206438,496,""
"just_dark","hatred_comp",0.049,0.280809350015647,496,""
"just_dark","revenge_comp",0.095,0.0349205230598898,496,"*"
"just_dark","sdo_comp",0.032,0.470639261754724,496,""
"just_dark","rwa_comp",-0.035,0.440407292999892,496,""
"just_dark","raceresent_comp",0.064,0.155003212017038,496,""
"vader_compound","punitiveness_agg",-0.193,0.0000145562960127014,496,"***"
"vader_compound","hostile_agg",-0.052,0.247596370555174,496,""
"vader_compound","crime_concerns_agg",-0.079,0.0776614306807273,496,""
"vader_compound","hatred_comp",-0.091,0.0421330130835611,496,"*"
"vader_compound","revenge_comp",-0.022,0.626799830005599,496,""
"vader_compound","sdo_comp",-0.078,0.0816710031701579,496,""
"vader_compound","rwa_comp",-0.091,0.043182805222521,496,"*"
"vader_compound","raceresent_comp",-0.087,0.0540247222529109,496,""
"zs_prosocial_mean","punitiveness_agg",-0.028,0.532949141827567,496,""
"zs_prosocial_mean","hostile_agg",-0.049,0.28098166042693,496,""
"zs_prosocial_mean","crime_concerns_agg",0.004,0.933844263471982,496,""
"zs_prosocial_mean","hatred_comp",-0.003,0.947686708699524,496,""
"zs_prosocial_mean","revenge_comp",-0.049,0.280001889959022,496,""
"zs_prosocial_mean","sdo_comp",-0.035,0.434034278335419,496,""
"zs_prosocial_mean","rwa_comp",0.019,0.675678800743275,496,""
"zs_prosocial_mean","raceresent_comp",0.039,0.3904284650989,496,""
"zs_dark_mean","punitiveness_agg",0.289,0.0000000000509333007770852,496,"***"
"zs_dark_mean","hostile_agg",0.137,0.00224852876196197,496,"**"
"zs_dark_mean","crime_concerns_agg",0.106,0.0178931395299788,496,"*"
"zs_dark_mean","hatred_comp",0.192,0.0000166519755769655,496,"***"
"zs_dark_mean","revenge_comp",0.091,0.0420937496682081,496,"*"
"zs_dark_mean","sdo_comp",0.061,0.177597470020459,496,""
"zs_dark_mean","rwa_comp",0.151,0.000717768390120851,496,"***"
"zs_dark_mean","raceresent_comp",0.124,0.00567305789905208,496,"**"
