"Construct","parsimony_1_R","parsimony_2_R","Difference"
"Crime Rates",0.24,0.21,0.03
"Revenge",0.25,0.24,0.01
"Anger",0.25,0.25,0
"Exclusion",0.34,0.35,-0.00999999999999995
"Hatred",0.35,0.36,-0.01
"Suffering",0.25,0.33,-0.08
"RWA",0.28,0.37,-0.09
"Vengefulness",0,0.1,-0.1
"Racial Resentment",0.29,0.4,-0.11
"Prison Violence",0.28,0.41,-0.13
"Harsh Conditions",0.34,0.48,-0.14
"Fear",-0.02,0.12,-0.14
"Degradation",0.24,0.38,-0.14
"Violence Prone",0.2,0.35,-0.15
"SDO",0.15,0.37,-0.22
"Blood Sports",-0.12,0.1,-0.22
